Timestamp,CP_ID,Message_Type,Label
2025-12-11T22:06:39.871410,CP_004,MeterValues,attack_meta
2025-12-11T22:06:39.873204,CP_005,MeterValues,attack_meta
2025-12-11T22:06:39.875759,CP_006,MeterValues,attack_meta
2025-12-11T22:06:39.878230,CP_007,MeterValues,attack_meta
2025-12-11T22:06:39.880459,CP_008,MeterValues,attack_meta
2025-12-11T22:06:39.882177,CP_009,MeterValues,attack_meta
2025-12-11T22:06:39.883885,CP_010,MeterValues,attack_meta
2025-12-11T22:06:40.892933,CP_001,MeterValues,attack_meta
2025-12-11T22:06:40.895021,CP_002,MeterValues,attack_meta
2025-12-11T22:06:40.896639,CP_003,MeterValues,attack_meta
2025-12-11T22:06:40.898855,CP_004,MeterValues,attack_meta
2025-12-11T22:06:40.900619,CP_005,MeterValues,attack_meta
2025-12-11T22:06:40.902500,CP_006,MeterValues,attack_meta
2025-12-11T22:06:40.904085,CP_007,MeterValues,attack_meta
2025-12-11T22:06:40.908504,CP_008,MeterValues,attack_meta
2025-12-11T22:06:40.913871,CP_001,Heartbeat,attack_meta
2025-12-11T22:06:40.914093,CP_004,Heartbeat,attack_meta
2025-12-11T22:06:40.914717,CP_005,Heartbeat,attack_meta
2025-12-11T22:06:40.915016,CP_002,Heartbeat,attack_meta
2025-12-11T22:06:40.915367,CP_003,Heartbeat,attack_meta
2025-12-11T22:06:40.918558,CP_009,MeterValues,attack_meta
2025-12-11T22:06:40.921722,CP_010,MeterValues,attack_meta
2025-12-11T22:06:41.935352,CP_001,MeterValues,attack_meta
2025-12-11T22:06:41.937349,CP_002,MeterValues,attack_meta
2025-12-11T22:06:41.938885,CP_003,MeterValues,attack_meta
2025-12-11T22:06:41.941196,CP_004,MeterValues,attack_meta
2025-12-11T22:06:41.943122,CP_005,MeterValues,attack_meta
2025-12-11T22:06:41.945439,CP_006,MeterValues,attack_meta
2025-12-11T22:06:41.947849,CP_007,MeterValues,attack_meta
2025-12-11T22:06:41.950192,CP_008,MeterValues,attack_meta
2025-12-11T22:06:41.951933,CP_009,MeterValues,attack_meta
2025-12-11T22:06:41.953783,CP_010,MeterValues,attack_meta
2025-12-11T22:06:42.964535,CP_001,MeterValues,attack_meta
2025-12-11T22:06:42.966253,CP_002,MeterValues,attack_meta
2025-12-11T22:06:42.968641,CP_003,MeterValues,attack_meta
2025-12-11T22:06:42.970224,CP_004,MeterValues,attack_meta
2025-12-11T22:06:42.972267,CP_005,MeterValues,attack_meta
2025-12-11T22:06:42.975100,CP_006,MeterValues,attack_meta
2025-12-11T22:06:42.977621,CP_007,MeterValues,attack_meta
2025-12-11T22:06:42.979697,CP_008,MeterValues,attack_meta
2025-12-11T22:06:42.982459,CP_009,MeterValues,attack_meta
2025-12-11T22:06:42.985148,CP_010,MeterValues,attack_meta
2025-12-11T22:06:43.494986,CP_010,Heartbeat,attack_meta
2025-12-11T22:06:43.495154,CP_007,Heartbeat,attack_meta
2025-12-11T22:06:43.495337,CP_006,Heartbeat,attack_meta
2025-12-11T22:06:43.495445,CP_009,Heartbeat,attack_meta
2025-12-11T22:06:43.495551,CP_008,Heartbeat,attack_meta
2025-12-11T22:06:43.989585,CP_001,MeterValues,attack_meta
2025-12-11T22:06:43.991503,CP_002,MeterValues,attack_meta
2025-12-11T22:06:43.993215,CP_003,MeterValues,attack_meta
2025-12-11T22:06:43.995219,CP_004,MeterValues,attack_meta
2025-12-11T22:06:43.997004,CP_005,MeterValues,attack_meta
2025-12-11T22:06:43.999142,CP_006,MeterValues,attack_meta
2025-12-11T22:06:44.000928,CP_007,MeterValues,attack_meta
2025-12-11T22:06:44.004176,CP_008,MeterValues,attack_meta
2025-12-11T22:06:44.006623,CP_009,MeterValues,attack_meta
2025-12-11T22:06:44.009036,CP_010,MeterValues,attack_meta
2025-12-11T22:06:45.017119,CP_001,MeterValues,attack_meta
2025-12-11T22:06:45.019532,CP_002,MeterValues,attack_meta
2025-12-11T22:06:45.021239,CP_003,MeterValues,attack_meta
2025-12-11T22:06:45.023862,CP_004,MeterValues,attack_meta
2025-12-11T22:06:45.026325,CP_005,MeterValues,attack_meta
2025-12-11T22:06:45.029821,CP_006,MeterValues,attack_meta
2025-12-11T22:06:45.032417,CP_007,MeterValues,attack_meta
2025-12-11T22:06:45.034128,CP_008,MeterValues,attack_meta
2025-12-11T22:06:45.035811,CP_009,MeterValues,attack_meta
2025-12-11T22:06:45.038634,CP_010,MeterValues,attack_meta
2025-12-11T22:06:46.051687,CP_001,MeterValues,attack_meta
2025-12-11T22:06:46.053189,CP_002,MeterValues,attack_meta
2025-12-11T22:06:46.054534,CP_003,MeterValues,attack_meta
2025-12-11T22:06:46.055868,CP_004,MeterValues,attack_meta
2025-12-11T22:06:46.058363,CP_005,MeterValues,attack_meta
2025-12-11T22:06:46.060352,CP_006,MeterValues,attack_meta
2025-12-11T22:06:46.063114,CP_007,MeterValues,attack_meta
2025-12-11T22:06:46.065449,CP_008,MeterValues,attack_meta
2025-12-11T22:06:46.067406,CP_009,MeterValues,attack_meta
2025-12-11T22:06:46.068936,CP_010,MeterValues,attack_meta
2025-12-11T22:06:47.079339,CP_001,MeterValues,attack_meta
2025-12-11T22:06:47.080967,CP_002,MeterValues,attack_meta
2025-12-11T22:06:47.082437,CP_003,MeterValues,attack_meta
2025-12-11T22:06:47.083957,CP_004,MeterValues,attack_meta
2025-12-11T22:06:47.086394,CP_005,MeterValues,attack_meta
2025-12-11T22:06:47.088766,CP_006,MeterValues,attack_meta
2025-12-11T22:06:47.091314,CP_007,MeterValues,attack_meta
2025-12-11T22:06:47.094314,CP_008,MeterValues,attack_meta
2025-12-11T22:06:47.096103,CP_009,MeterValues,attack_meta
2025-12-11T22:06:47.098563,CP_010,MeterValues,attack_meta
2025-12-11T22:06:48.107570,CP_001,MeterValues,attack_meta
2025-12-11T22:06:48.109254,CP_002,MeterValues,attack_meta
2025-12-11T22:06:48.110919,CP_003,MeterValues,attack_meta
2025-12-11T22:06:48.113220,CP_004,MeterValues,attack_meta
2025-12-11T22:06:48.115166,CP_005,MeterValues,attack_meta
2025-12-11T22:06:48.116820,CP_006,MeterValues,attack_meta
2025-12-11T22:06:48.118636,CP_007,MeterValues,attack_meta
2025-12-11T22:06:48.122433,CP_008,MeterValues,attack_meta
2025-12-11T22:06:48.125297,CP_009,MeterValues,attack_meta
2025-12-11T22:06:48.128589,CP_010,MeterValues,attack_meta
2025-12-11T22:06:49.137094,CP_001,MeterValues,attack_meta
2025-12-11T22:06:49.138735,CP_002,MeterValues,attack_meta
2025-12-11T22:06:49.140924,CP_003,MeterValues,attack_meta
2025-12-11T22:06:49.142728,CP_004,MeterValues,attack_meta
2025-12-11T22:06:49.144710,CP_005,MeterValues,attack_meta
2025-12-11T22:06:49.146846,CP_006,MeterValues,attack_meta
2025-12-11T22:06:49.149466,CP_007,MeterValues,attack_meta
2025-12-11T22:06:49.151184,CP_008,MeterValues,attack_meta
2025-12-11T22:06:49.152788,CP_009,MeterValues,attack_meta
2025-12-11T22:06:49.155631,CP_010,MeterValues,attack_meta
2025-12-11T22:06:50.164697,CP_001,MeterValues,attack_meta
2025-12-11T22:06:50.166448,CP_002,MeterValues,attack_meta
2025-12-11T22:06:50.168616,CP_003,MeterValues,attack_meta
2025-12-11T22:06:50.170165,CP_004,MeterValues,attack_meta
2025-12-11T22:06:50.172065,CP_005,MeterValues,attack_meta
2025-12-11T22:06:50.174165,CP_006,MeterValues,attack_meta
2025-12-11T22:06:50.176932,CP_007,MeterValues,attack_meta
2025-12-11T22:06:50.179398,CP_008,MeterValues,attack_meta
2025-12-11T22:06:50.181364,CP_009,MeterValues,attack_meta
2025-12-11T22:06:50.183914,CP_010,MeterValues,attack_meta
2025-12-11T22:06:50.923897,CP_001,Heartbeat,attack_meta
2025-12-11T22:06:50.924109,CP_004,Heartbeat,attack_meta
2025-12-11T22:06:50.924305,CP_002,Heartbeat,attack_meta
2025-12-11T22:06:50.925052,CP_003,Heartbeat,attack_meta
2025-12-11T22:06:50.925181,CP_005,Heartbeat,attack_meta
2025-12-11T22:06:51.189948,CP_001,MeterValues,attack_meta
2025-12-11T22:06:51.191935,CP_002,MeterValues,attack_meta
2025-12-11T22:06:51.193527,CP_003,MeterValues,attack_meta
2025-12-11T22:06:51.195197,CP_004,MeterValues,attack_meta
2025-12-11T22:06:51.197157,CP_005,MeterValues,attack_meta
2025-12-11T22:06:51.198556,CP_006,MeterValues,attack_meta
2025-12-11T22:06:51.200035,CP_007,MeterValues,attack_meta
2025-12-11T22:06:51.201889,CP_008,MeterValues,attack_meta
2025-12-11T22:06:51.204561,CP_009,MeterValues,attack_meta
2025-12-11T22:06:51.206912,CP_010,MeterValues,attack_meta
2025-12-11T22:06:52.212713,CP_001,MeterValues,attack_meta
2025-12-11T22:06:52.214368,CP_002,MeterValues,attack_meta
2025-12-11T22:06:52.216593,CP_003,MeterValues,attack_meta
2025-12-11T22:06:52.218651,CP_004,MeterValues,attack_meta
2025-12-11T22:06:52.221324,CP_005,MeterValues,attack_meta
2025-12-11T22:06:52.224405,CP_006,MeterValues,attack_meta
2025-12-11T22:06:52.227308,CP_007,MeterValues,attack_meta
